competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded,source_year,amount_missing,is_awarded_flag,amount_scope,group_award_flag,financial_kpi_eligible,awarded_amount_numeric,competition_type_standardized,vendor_name_clean
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,Norda Stelo Inc.,"$ 149,056.00",Yes,2023,False,True,vendor_specific,False,True,149056.0,RFP,Norda Stelo Inc.
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,WSP Canada Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,WSP Canada Inc.
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,PricewaterhouseCoopers LLP,,No,2023,True,False,not_awarded,False,False,,RFP,PricewaterhouseCoopers LLP
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,GHD Limited,,No,2023,True,False,not_awarded,False,False,,RFP,GHD Limited
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,Hatch Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,Hatch Ltd.
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,Ernst & Young LLP,,No,2023,True,False,not_awarded,False,False,,RFP,Ernst & Young LLP
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,BBA Engineering Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,BBA Engineering Ltd.
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,Aker Solutions Canada Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,Aker Solutions Canada Inc.
22-438,RFP,"Assessment of Carbon Capture, Utilization, and Sequestration Technologies",2023-01-04,Sacre-Davey Engineering,,No,2023,True,False,not_awarded,False,False,,RFP,Sacre-Davey Engineering
22-445,ITQ,2022 Solid Waste Facilities Customer Surveys,2023-01-04,Leger Marketing Alberta Inc.,"$ 89,653.00",Yes,2023,False,True,vendor_specific,False,True,89653.0,ITQ,Leger Marketing Alberta Inc.
22-445,ITQ,2022 Solid Waste Facilities Customer Surveys,2023-01-04,Tetra Tech,,No,2023,True,False,not_awarded,False,False,,ITQ,Tetra Tech
22-391,RFSO,Graphic Design Services,2023-01-10,Ion Design Inc.,"$ 600,000.00",Yes,2023,False,True,group_framework_anchor,True,True,600000.0,RFSO,Ion Design Inc.
22-391,RFSO,Graphic Design Services,2023-01-10,Laura Galloway Design,,Yes,2023,True,True,group_framework_member,True,False,,RFSO,Laura Galloway Design
22-391,RFSO,Graphic Design Services,2023-01-10,Slingshot Communications Inc,,Yes,2023,True,True,group_framework_member,True,False,,RFSO,Slingshot Communications Inc
22-391,RFSO,Graphic Design Services,2023-01-10,KIMBO Design Inc.,,Yes,2023,True,True,group_framework_member,True,False,,RFSO,KIMBO Design Inc.
22-391,RFSO,Graphic Design Services,2023-01-10,SITE Marketing Partners Inc.,,Yes,2023,True,True,group_framework_member,True,False,,RFSO,SITE Marketing Partners Inc.
22-391,RFSO,Graphic Design Services,2023-01-10,Straydog Design Inc,,No,2023,True,False,not_awarded,False,False,,RFSO,Straydog Design Inc
22-391,RFSO,Graphic Design Services,2023-01-10,WeUsThem Inc.,,No,2023,True,False,not_awarded,False,False,,RFSO,WeUsThem Inc.
22-391,RFSO,Graphic Design Services,2023-01-10,Lucas Design,,No,2023,True,False,not_awarded,False,False,,RFSO,Lucas Design
22-391,RFSO,Graphic Design Services,2023-01-10,Crestview Strategy,,No,2023,True,False,not_awarded,False,False,,RFSO,Crestview Strategy
22-391,RFSO,Graphic Design Services,2023-01-10,Just Consult,,No,2023,True,False,not_awarded,False,False,,RFSO,Just Consult
